"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","13055250",2020-07-01,646,"A"
"2","USGS","13055250",2020-07-02,506,"A"
"3","USGS","13055250",2020-07-03,368,"A"
"4","USGS","13055250",2020-07-04,332,"A"
"5","USGS","13055250",2020-07-05,319,"A"
"6","USGS","13055250",2020-07-06,240,"A"
"7","USGS","13055250",2020-07-07,198,"A"
"8","USGS","13055250",2020-07-08,143,"A"
"9","USGS","13055250",2020-07-09,137,"A"
"10","USGS","13055250",2020-07-10,93.3,"A"
"11","USGS","13055250",2020-07-11,96.4,"A"
"12","USGS","13055250",2020-07-12,108,"A"
"13","USGS","13055250",2020-07-13,112,"A"
"14","USGS","13055250",2020-07-14,142,"A"
"15","USGS","13055250",2020-07-15,84.5,"A"
"16","USGS","13055250",2020-07-16,70.9,"A"
"17","USGS","13055250",2020-07-17,60.5,"A"
"18","USGS","13055250",2020-07-18,48.8,"A"
"19","USGS","13055250",2020-07-19,48.9,"A"
"20","USGS","13055250",2020-07-20,58.4,"A"
"21","USGS","13055250",2020-07-21,26.4,"A"
"22","USGS","13055250",2020-07-22,90.2,"A"
"23","USGS","13055250",2020-07-23,76.4,"A"
"24","USGS","13055250",2020-07-24,55.9,"A"
"25","USGS","13055250",2020-07-25,60.2,"A"
"26","USGS","13055250",2020-07-26,64.1,"A"
"27","USGS","13055250",2020-07-27,58.2,"A"
"28","USGS","13055250",2020-07-28,46,"A"
"29","USGS","13055250",2020-07-29,45.8,"A"
"30","USGS","13055250",2020-07-30,32.9,"A"
"31","USGS","13055250",2020-07-31,30.6,"A"
"32","USGS","13055250",2020-08-01,45.6,"A"
"33","USGS","13055250",2020-08-02,43.7,"A"
"34","USGS","13055250",2020-08-03,29.7,"A"
"35","USGS","13055250",2020-08-04,45,"A"
"36","USGS","13055250",2020-08-05,38.3,"A"
"37","USGS","13055250",2020-08-06,44.7,"A"
"38","USGS","13055250",2020-08-07,46.6,"A"
"39","USGS","13055250",2020-08-08,33.7,"A"
"40","USGS","13055250",2020-08-09,25.7,"A"
"41","USGS","13055250",2020-08-10,28.6,"A"
"42","USGS","13055250",2020-08-11,38.4,"A"
"43","USGS","13055250",2020-08-12,38.7,"A"
"44","USGS","13055250",2020-08-13,28.1,"A"
"45","USGS","13055250",2020-08-14,44.9,"A"
"46","USGS","13055250",2020-08-15,37.3,"A"
"47","USGS","13055250",2020-08-16,43.1,"A"
"48","USGS","13055250",2020-08-17,31,"A"
"49","USGS","13055250",2020-08-18,18.1,"A"
"50","USGS","13055250",2020-08-19,14,"A"
"51","USGS","13055250",2020-08-20,3.39,"A"
"52","USGS","13055250",2020-08-21,1.17,"A"
"53","USGS","13055250",2020-08-22,1.8,"A"
"54","USGS","13055250",2020-08-23,4.83,"A"
"55","USGS","13055250",2020-08-24,15.1,"A"
"56","USGS","13055250",2020-08-25,12.8,"A"
"57","USGS","13055250",2020-08-26,23.5,"A"
"58","USGS","13055250",2020-08-27,37.4,"A"
