,agency_cd,site_no,Date,X_00060_00003,X_00060_00003_cd
,,,,,
1,USGS,13055250,10/31/2016,285,A
2,USGS,13055250,11/1/2016,341,A
3,USGS,13055250,11/2/2016,298,A
4,USGS,13055250,11/3/2016,254,A
5,USGS,13055250,11/4/2016,199,A
6,USGS,13055250,11/5/2016,124,A
7,USGS,13055250,11/7/2016,113,A
8,USGS,13055250,11/8/2016,106,A
9,USGS,13055250,11/9/2016,102,A
10,USGS,13055250,11/10/2016,99.8,A
11,USGS,13055250,11/11/2016,96,A
12,USGS,13055250,11/12/2016,93.1,A
13,USGS,13055250,11/13/2016,89.9,A
14,USGS,13055250,11/14/2016,89.8,A
15,USGS,13055250,11/15/2016,92.4,A
16,USGS,13055250,11/16/2016,88.1,A
17,USGS,13055250,11/17/2016,89,A
18,USGS,13055250,11/18/2016,89.4,A
19,USGS,13055250,11/19/2016,87.2,A
20,USGS,13055250,11/20/2016,93.9,A
21,USGS,13055250,11/21/2016,110,A
22,USGS,13055250,11/22/2016,122,A
23,USGS,13055250,11/23/2016,124,A
24,USGS,13055250,11/24/2016,118,A
25,USGS,13055250,11/25/2016,111,A e
26,USGS,13055250,11/26/2016,103,A e
27,USGS,13055250,11/27/2016,108,A e
28,USGS,13055250,11/28/2016,110,A e
29,USGS,13055250,11/29/2016,105,A e
30,USGS,13055250,11/30/2016,103,A e
31,USGS,13055250,12/1/2016,106,A e
32,USGS,13055250,12/2/2016,104,A e
33,USGS,13055250,12/3/2016,99.6,A e
34,USGS,13055250,12/4/2016,102,A e
35,USGS,13055250,12/5/2016,96.5,A e
36,USGS,13055250,12/6/2016,68.4,A e
37,USGS,13055250,12/7/2016,72.5,A e
38,USGS,13055250,12/8/2016,81.6,A e
39,USGS,13055250,12/9/2016,86.8,A e
40,USGS,13055250,12/10/2016,96.5,A e
41,USGS,13055250,12/11/2016,93.2,A e
42,USGS,13055250,12/12/2016,86.4,A e
43,USGS,13055250,12/13/2016,85.6,A e
44,USGS,13055250,12/14/2016,90.4,A e
45,USGS,13055250,12/15/2016,91,A e
46,USGS,13055250,12/16/2016,96.3,A e
47,USGS,13055250,12/17/2016,72,A e
48,USGS,13055250,12/18/2016,68.4,A e
49,USGS,13055250,12/19/2016,79.7,A e
50,USGS,13055250,12/20/2016,99.2,A e
51,USGS,13055250,12/21/2016,81.2,A e
52,USGS,13055250,12/22/2016,75.8,A e
53,USGS,13055250,12/23/2016,85.3,A e
54,USGS,13055250,12/24/2016,93.8,A e
55,USGS,13055250,12/25/2016,81.7,A e
56,USGS,13055250,12/26/2016,72.7,A e
57,USGS,13055250,12/27/2016,83.7,A e
58,USGS,13055250,12/28/2016,74.7,A e
59,USGS,13055250,12/29/2016,77.7,A e
60,USGS,13055250,12/30/2016,90.3,A e
61,USGS,13055250,12/31/2016,79,A e
62,USGS,13055250,1/1/2017,76.3,A e
63,USGS,13055250,1/2/2017,71.8,A e
64,USGS,13055250,1/3/2017,76.7,A e
65,USGS,13055250,1/4/2017,71.7,A e
66,USGS,13055250,1/5/2017,69.2,A e
67,USGS,13055250,1/6/2017,62.7,A e
68,USGS,13055250,1/7/2017,65.4,A e
69,USGS,13055250,1/8/2017,109,A e
70,USGS,13055250,1/9/2017,119,A e
71,USGS,13055250,1/10/2017,109,A e
72,USGS,13055250,1/11/2017,106,A e
73,USGS,13055250,1/12/2017,85,A e
74,USGS,13055250,1/13/2017,77,A e
75,USGS,13055250,1/14/2017,74.6,A e
76,USGS,13055250,1/15/2017,74.9,A e
77,USGS,13055250,1/16/2017,66.5,A e
78,USGS,13055250,1/17/2017,69.3,A e
79,USGS,13055250,1/18/2017,79.5,A e
